MAKE,Model,Version,Año,60000
Suzuki,Ertiga,Boostergreen GLX MT,2024,1
Suzuki,Ertiga,Boostergreen GLX AT,2024,1
Suzuki,Ertiga,Boostergreen GLS MT,2024,1
Suzuki,Ertiga,Boostergreen GLS AT,2024,1
Suzuki,Ertiga XL7,Boostergreen GLX AT,2024,1
Suzuki,Fronx,Boostergreen GLX AT,2024,1
Suzuki,Grand Vitara,Boostergreen GLX,2024,1
Suzuki,Ignis,GLS plus CVT,2024,1
Suzuki,Ignis,GLS-Z CVT,2024,1
Suzuki,Ignis,GLS-Z,2024,1
Suzuki,Ignis,GL CVT,2024,1
Suzuki,Ignis,GLS plus,2024,1
Suzuki,Ignis,GLX TM,2024,1
Suzuki,Ignis,GLX CVT,2024,1
Suzuki,Ignis,GL MT,2024,1
Suzuki,Jimny,GLX MT Bitono,2024,1
Suzuki,Jimny,GLX AT 5 door,2024,1
Suzuki,Jimny,GLX AT Bitono,2024,1
Suzuki,Jimny,GLX AT,2024,1
Suzuki,Jimny,GLX MT,2024,1
Suzuki,S-Cross,Boosterjet AT,2024,1
Suzuki,Swift,1.4L Sport AT,2024,1
Suzuki,Swift,1.4L Sport MT,2024,1
Suzuki,Swift,GLX BSTG ISG Hybrid MT Boostergreen,2024,1
Suzuki,Swift,GLS 5MT,2024,1
Suzuki,Swift,Boosterjet 6AT,2024,1
Suzuki,Swift,Boosterjet 5MT,2024,1
Suzuki,Swift,GLX 5MT,2024,1
Suzuki,Swift,GLX CVT,2024,1
Suzuki,Swift,GLS CVT,2024,1
Subaru,WRX,2.4 High 6MT,2026,1
Subaru,WRX,2.4 Sportwagon CVT,2026,1
Subaru,WRX,2.4 tS Performance 6MT,2026,1
Subaru,WRX,2.4 tS CVT,2026,1
Subaru,BRZ,2.4i Purple Edition,2025,1
Subaru,BRZ,2.4i tS 6MT Rin Dorado,2025,1
Subaru,BRZ,2.4i tS 6MT,2025,1
Subaru,BRZ,2.4i Limited 6MT EyeSight,2025,1
Subaru,BRZ,2.4i Limited 6AT EyeSight,2025,1
Subaru,Crosstrek,2.0i Limited E-Boxer CVT,2025,1
Subaru,Crosstrek,2.0i Dynamic CVT,2025,1
Subaru,Crosstrek,2.0i Limited CVT,2025,1
Subaru,Forester,2.5i Touring CVT EyeSight,2025,1
Subaru,Forester,2.5i Sport CVT EyeSight,2025,1
Subaru,Forester,2.5i Black Edition CVT EyeSight,2025,1
Subaru,Forester,2.5i Premium Plus CVT EyeSight,2025,1
Subaru,Outback,2.4L Touring XT CVT EyeSight,2025,1
Subaru,WRX,2.4 tS CVT,2025,1
Subaru,WRX,2.4 Performance 6MT,2025,1
Subaru,WRX,2.4 Sportwagon CVT,2025,1
Subaru,WRX,2.4 High 6MT,2025,1
Subaru,BRZ,2.4i Limited 6AT EyeSight,2024,1
Subaru,BRZ,2.4i Limited 6MT EyeSight,2024,1
Subaru,BRZ,2.4i tS 6MT,2024,1
Subaru,BRZ,2.4i Limited ES 6MT Kit S,2024,1
Subaru,Crosstrek,2.0i Premium Plus CVT,2024,1
Subaru,Crosstrek,2.0i Limited CVT,2024,1
Subaru,Crosstrek,2.0i Limited CVT,2024,1
Subaru,Crosstrek,2.0i Premium Plus CVT,2024,1
Subaru,Crosstrek,2.0i Limited E-Boxer CVT,2024,1
Subaru,Forester,2.5i Premium Plus CVT EyeSight,2024,1
Subaru,Forester,2.5i Black Edition CVT EyeSight,2024,1
Subaru,Forester,2.5i Sport CVT EyeSight,2024,1
Subaru,Forester,2.5i Touring CVT EyeSight,2024,1
Subaru,Outback,2.4L Touring XT CVT EyeSight,2024,1
Subaru,Outback,2.4L Geyser Blue XT CVT EyeSight,2024,1
Soueast,S06,i-DM Premium 1.5TD 1DHT,2026,1
Soueast,S07,Comfort 1.5T 6DCT,2026,1
Soueast,S07,Premium 1.6TD 7DCT,2026,1
Soueast,S09,Luxury 1.6TD 7DCT,2026,1
Soueast,S09,Premium 2.0TD 8AT 4WD,2026,1
SEV,E-Wan Cross,Lite,2025,1
SEV,E-Wan Cross,Bold,2025,1
SEV,Friday,Bold 630,2025,1
SEV,Friday,Lite 410,2025,1
SEV,E-Tus,Bold,2024,1
SEV,E-Tus,Lite,2024,1
SEV,E-Wan Cross,Bold,2024,1
SEV,E-Wan Cross,Lite,2024,1
SEV,E-Wan Cross,Lite 230,2024,1
Seres,Seres 5,EVR,2024,1
Seres,Seres 5,EV,2024,1
SEAT,Ateca,Xperience Aut,2025,1
SEAT,Ateca,FR Aut,2025,1
SEAT,Ateca,Style Aut,2025,1
SEAT,Leon,Style Aut. 150HP,2025,1
SEAT,Leon,FR 1.4,2025,1
SEAT,Arona,Style,2025,1
SEAT,Arona,Xperience,2025,1
SEAT,Arona,Reference,2025,1
SEAT,Ateca,Xperience Aut,2025,1
SEAT,Ateca,FR Aut,2025,1
SEAT,Ateca,Style Aut,2025,1
SEAT,Ibiza,Reference Std,2025,1
SEAT,Ibiza,Style Tip,2025,1
SEAT,Ibiza,Reference Tip,2025,1
SEAT,Ibiza,FR 1.5L DSG.,2025,1
SEAT,Ibiza,Turbo First Edition FR 1.5L DSG,2025,1
SEAT,Ibiza,FR 1.0L Std,2025,1
SEAT,Ibiza,Xcellence Tip,2025,1
SEAT,Ibiza,Xcellence Std,2025,1
SEAT,Ibiza,Style Std,2025,1
SEAT,Ibiza,FR 1.6T,2025,1
SEAT,Leon,Style Aut. 150HP,2025,1
SEAT,Leon,FR 1.4,2025,1
SEAT,Ateca,Style Aut,2024,1
SEAT,Ateca,FR Aut,2024,1
SEAT,Ateca,Xperience Aut,2024,1
SEAT,Leon,FR 1.4,2024,1
SEAT,Leon,Style Aut. 150HP,2024,1
SEAT,Arona,Reference,2024,1
SEAT,Arona,Xperience Marina,2024,1
SEAT,Arona,Xperience,2024,1
SEAT,Arona,Style,2024,1
SEAT,Ateca,Style Aut,2024,1
SEAT,Ateca,FR Aut,2024,1
SEAT,Ateca,Xperience Aut,2024,1
SEAT,Ibiza,FR 1.6T,2024,1
SEAT,Ibiza,Style Std,2024,1
SEAT,Ibiza,Xcellence Std,2024,1
SEAT,Ibiza,Xcellence Tip,2024,1
SEAT,Ibiza,FR 1.0L Std,2024,1
SEAT,Ibiza,FR 1.6L Std. 40 Aniversario,2024,1
SEAT,Ibiza,Reference Tip,2024,1
SEAT,Ibiza,Style Tip,2024,1
SEAT,Ibiza,Reference Std,2024,1
SEAT,Leon,FR 1.4,2024,1
SEAT,Leon,Style Aut. 150HP,2024,1
SEAT,Tarraco,FR,2024,1
Renault,Koleos,Techno,2026,1
Renault,Koleos,Alpine Esprit Full Hybrid E-Tech,2026,1
Renault,Megane E-Tech,E-Tech,2026,1
Renault,Arkana,Esprit Alpine,2025,1
Renault,Arkana,Techno,2025,1
Renault,Duster,Intens TM,2025,1
Renault,Duster,Iconic CVT,2025,1
Renault,Kangoo,E-Tech Cargo Maxi,2025,1
Renault,Kangoo,Intens,2025,1
Renault,Kardian,Evolution TM,2025,1
Renault,Kardian,Evolution EDC,2025,1
Renault,Kardian,Techno EDC,2025,1
Renault,Kardian,Premiere Edition EDC,2025,1
Renault,Koleos,Iconic,2025,1
Renault,Kwid,Intens,2025,1
Renault,Kwid,Iconic,2025,1
Renault,Kwid,Bitono,2025,1
Renault,Kwid,27KWH E-Tech,2025,1
Renault,Kwid,Outsider,2025,1
Renault,Master,L2H3,2025,1
Renault,Master,L2H2,2025,1
Renault,Oroch,Outsider TM,2025,1
Renault,Oroch,Outsider CVT,2025,1
Renault,Oroch,Zen TM,2025,1
Renault,Duster,Iconic CVT,2024,1
Renault,Duster,Intens TM,2024,1
Renault,Kangoo,Intens,2024,1
Renault,Kangoo,E-Tech Cargo Maxi,2024,1
Renault,Koleos,Intens,2024,1
Renault,Koleos,Iconic,2024,1
Renault,Kwid,Outsider,2024,1
Renault,Kwid,27KWH E-Tech,2024,1
Renault,Kwid,Bitono,2024,1
Renault,Kwid,Iconic,2024,1
Renault,Kwid,Intens,2024,1
Renault,Logan,1.6 Intens MT,2024,1
Renault,Logan,1.6 Intens CVT,2024,1
Renault,Master,L2H2,2024,1
Renault,Master,L2H3,2024,1
Renault,Master,E-Tech,2024,1
Renault,Oroch,Zen TM,2024,1
Renault,Oroch,Outsider CVT,2024,1
Renault,Oroch,Life TM,2024,1
Renault,Oroch,Outsider TM,2024,1
Renault,Stepway,Intens MT,2024,1
Renault,Stepway,Intens CVT,2024,1
Ram,700,Bighorn Crew Cab,2025,1
Ram,700,Laramie Crew Cab,2025,1
Ram,700,Tradesman Reg Cab,2025,1
Ram,700,Tradesman Crew Cab,2025,1
Ram,700,Bighorn CVT,2025,1
Ram,Promaster,2500 11.5m,2025,1
Ram,Ram 1200,Tradesman RC,2025,1
