Make,Model,Version_sales,match_make,match_model,match_version,match_ano,msrp,precio_transaccion,hp,equipment_score,units
JAC,4,1.6 COMFORT,JAC,SEI4 PRO,COMFORT MT,2022.0,383000.0,383000.0,118.0,2.0,76.0
JAC,4,1.6 COMFORT,JAC,SEI4 PRO,COMFORT MT,2023.0,355000.0,355000.0,118.0,2.0,47.0
JAC,S4,(O)1.6 COMFORT,JAC,JAC4,COMFORT MT,2025.0,354000.0,343000.0,107.0,3.0,574.0
CUPRA,FORMENTOR,(O)2.0 TSI HIGH 310HP DCT 4WD,CUPRA,FORMENTOR,TSI HIGH 310HP,2022.0,895900.0,895900.0,310.0,3.0,35.0
CUPRA,FORMENTOR,2.0 TSI HIGH 310HP DCT 4WD,CUPRA,FORMENTOR,TSI HIGH 310HP,2023.0,931900.0,821759.0,310.0,3.0,79.0
CUPRA,FORMENTOR,2.0 TSI VZ 310HP 4WD,CUPRA,FORMENTOR,TSI VZ 310HP,2024.0,929900.0,839900.0,310.0,3.0,326.0
CUPRA,FORMENTOR,(O)2.0 TSI 190HP DCT,CUPRA,FORMENTOR,VZ 2.0 TSI 333HP DSG7,2025.0,999900.0,928900.0,333.0,6.0,29.0
LINCOLN,NAUTILUS,2.7 RESERVE MONOCROMATICA AUTO AWD,LINCOLN,NAUTILUS,RESERVE AWD 2.7L PAQUETE MONOCROMATICO,2022.0,1350500.0,1350500.0,335.0,4.0,101.0
LINCOLN,NAUTILUS,2.7 RESERVE MONOCROMATICA AUTO AWD,LINCOLN,NAUTILUS,RESERVE AWD 2.7L PAQUETE MONOCROMATICO,2023.0,1512900.0,1282900.0,335.0,4.0,67.0
RAM,RAM 1500,6.2 TRX CREW CAB AUTO 4WD,RAM,RAM 1500,CC TRX 4X4,2022.0,2479900.0,2479900.0,702.0,5.0,350.0
FORD,BRONCO,2.3 BADLANDS AUTO 4WD,FORD,BRONCO,BADLANDS 2 PUERTAS,2022.0,1411000.0,1411000.0,300.0,4.0,91.0
